madsrdf	http://www.loc.gov/mads/rdf/v1#
bflc	http://id.loc.gov/ontologies/bflc/
rdf	http://www.w3.org/1999/02/22-rdf-syntax-ns#
foaf	http://xmlns.com/foaf/0.1/
yago	http://yago-knowledge.org/resource/
rdfs	http://www.w3.org/2000/01/rdf-schema#
dbo	http://dbpedia.org/ontology/
dbp	http://dbpedia.org/property/
dc	http://purl.org/dc/elements/1.1/
gr	http://purl.org/goodrelations/v1#
owl	http://www.w3.org/2002/07/owl#
spacerel	http://data.ordnancesurvey.co.uk/ontology/spatialrelations/
skos	http://www.w3.org/2004/02/skos/core#
geo	http://www.opengis.net/ont/geosparql#
dcat	http://www.w3.org/ns/dcat#
xsd	http://www.w3.org/2001/XMLSchema#
sd	http://www.w3.org/ns/sparql-service-description#
qb	http://purl.org/linked-data/cube#
ont	http://purl.org/net/ns/ontology-annot#
sioc	http://rdfs.org/sioc/ns#
xtypes	http://purl.org/xtypes/
org	http://www.w3.org/ns/org#
dcterms	http://purl.org/dc/terms/
prov	http://www.w3.org/ns/prov#
onto	http://www.ontotext.com/
dbpedia	http://dbpedia.org/resource/
void	http://rdfs.org/ns/void#
commerce	http://search.yahoo.com/searchmonkey/commerce/
dct	http://purl.org/dc/terms/
rss	http://purl.org/rss/1.0/
gldp	http://www.w3.org/ns/people#
bibo	http://purl.org/ontology/bibo/
event	http://purl.org/NET/c4dm/event.owl#
wd	http://www.wikidata.org/entity/
geonames	http://www.geonames.org/ontology#
fb	http://rdf.freebase.com/ns/
dcmit	http://purl.org/dc/dcmitype/
md	http://www.w3.org/ns/md#
pto	http://www.productontology.org/id/
sc	http://purl.org/science/owl/sciencecommons/
prog	http://purl.org/prog/
vcard	http://www.w3.org/2006/vcard/ns#
schema	http://schema.org/
cc	http://creativecommons.org/ns#
rr	http://www.w3.org/ns/r2rml#
doap	http://usefulinc.com/ns/doap#
swrc	http://swrc.ontoware.org/ontology#
ma	http://www.w3.org/ns/ma-ont#
nie	http://www.semanticdesktop.org/ontologies/2007/01/19/nie#
dbpprop	http://dbpedia.org/property/
dbr	http://dbpedia.org/resource/
vann	http://purl.org/vocab/vann/
ex	http://example.org/
http	http://www.w3.org/2011/http#
content	http://purl.org/rss/1.0/modules/content/
tl	http://purl.org/NET/c4dm/timeline.owl#
oo	http://purl.org/openorg/
akt	http://www.aktors.org/ontology/portal#
dcterm	http://purl.org/dc/terms/
fn	http://www.w3.org/2005/xpath-functions#
vs	http://www.w3.org/2003/06/sw-vocab-status/ns#
wot	http://xmlns.com/wot/0.1/
swc	http://data.semanticweb.org/ns/swc/ontology#
ical	http://www.w3.org/2002/12/cal/ical#
aiiso	http://purl.org/vocab/aiiso/schema#
marcrel	http://id.loc.gov/vocabulary/relators/
xmp	http://ns.adobe.com/xap/1.0/
earl	http://www.w3.org/ns/earl#
gen	http://purl.org/gen/0.1#
xhtml	http://www.w3.org/1999/xhtml#
rel	http://purl.org/vocab/relationship/
cv	http://rdfs.org/resume-rdf/
mo	http://purl.org/ontology/mo/
ad	http://schemas.talis.com/2005/address/schema#
bio	http://purl.org/vocab/bio/0.1/
dc11	http://purl.org/dc/elements/1.1/
cyc	http://sw.opencyc.org/concept/
factbook	http://wifo5-04.informatik.uni-mannheim.de/factbook/ns#
crm	http://www.cidoc-crm.org/cidoc-crm/
test2	http://this.invalid/test2#
bill	http://www.rdfabout.com/rdf/schema/usbill/
xhv	http://www.w3.org/1999/xhtml/vocab#
d2rq	http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#
daia	http://purl.org/ontology/daia/
rdfg	http://www.w3.org/2004/03/trix/rdfg-1/
pc	http://purl.org/procurement/public-contracts#
og	http://ogp.me/ns#
sdmxdim	http://purl.org/linked-data/sdmx/2009/dimension#
co	http://rhizomik.net/ontologies/copyrightonto.owl#
cs	http://purl.org/vocab/changeset/schema#
air	http://dig.csail.mit.edu/TAMI/2007/amord/air#
admin	http://webns.net/mvcb/
dv	http://rdf.data-vocabulary.org/#
log	http://www.w3.org/2000/10/swap/log#
book	http://purl.org/NET/book/vocab#
media	http://search.yahoo.com/searchmonkey/media/
oa	http://www.w3.org/ns/oa#
ctag	http://commontag.org/ns#
tzont	http://www.w3.org/2006/timezone#
days	http://ontologi.es/days#
ir	http://www.ontologydesignpatterns.org/cp/owl/informationrealization.owl#
afn	http://jena.hpl.hp.com/ARQ/function#
biblio	http://purl.org/net/biblio#
tag	http://www.holygoat.co.uk/owl/redwood/0.1/tags/
xfn	http://gmpg.org/xfn/11#
con	http://www.w3.org/2000/10/swap/pim/contact#
botany	http://purl.org/NET/biol/botany#
musim	http://purl.org/ontology/similarity/
osag	http://www.ordnancesurvey.co.uk/ontology/AdministrativeGeography/v2.0/AdministrativeGeography.rdf#
time	http://www.w3.org/2006/time#
cal	http://www.w3.org/2002/12/cal/ical#
sr	http://www.openrdf.org/config/repository/sail#
mu	http://mu.semte.ch/vocabularies/core/
photoshop	http://ns.adobe.com/photoshop/1.0/
cld	http://purl.org/cld/terms/
reco	http://purl.org/reco#
myspace	http://purl.org/ontology/myspace#
ome	http://purl.org/ontomedia/core/expression#
dcq	http://purl.org/dc/qualifiers/1.0/
xs	http://www.w3.org/2001/XMLSchema#
sism	http://purl.oclc.org/NET/sism/0.1/
dir	http://schemas.talis.com/2005/dir/schema#
cmp	http://www.ontologydesignpatterns.org/cp/owl/componency.owl#
xf	http://www.w3.org/2002/xforms/
af	http://purl.org/ontology/af/
wfs	http://schemas.opengis.net/wfs/
ok	http://okkam.org/terms#
lomvoc	http://ltsc.ieee.org/rdf/lomv1p0/vocabulary#
sio	http://semanticscience.org/resource/
rif	http://www.w3.org/2007/rif#
memo	http://ontologies.smile.deri.ie/2009/02/27/memo#
math	http://www.w3.org/2000/10/swap/math#
giving	http://ontologi.es/giving#
rev	http://purl.org/stuff/rev#
frbr	http://purl.org/vocab/frbr/core#
swande	http://purl.org/swan/1.2/discourse-elements/
dcn	http://www.w3.org/2007/uwa/context/deliverycontext.owl#
owlim	http://www.ontotext.com/trree/owlim#
swanq	http://purl.org/swan/1.2/qualifiers/
cfp	http://sw.deri.org/2005/08/conf/cfp.owl#
sdmxa	http://purl.org/linked-data/sdmx/2009/attribute#
obo	http://purl.obolibrary.org/obo/
gn	http://www.geonames.org/ontology#
jdbc	http://d2rq.org/terms/jdbc/
exif	http://www.w3.org/2003/12/exif/ns#
xsi	http://www.w3.org/2001/XMLSchema-instance#
as	https://www.w3.org/ns/activitystreams#
ov	http://open.vocab.org/terms/
swrl	http://www.w3.org/2003/11/swrl#
swrcfe	http://www.morelab.deusto.es/ontologies/swrcfe#
om	http://opendata.caceres.es/def/ontomunicipio#
type	http://info.deepcarbon.net/schema/type#
sdmx	http://purl.org/linked-data/sdmx#
swrlb	http://www.w3.org/2003/11/swrlb#
cnt	http://www.w3.org/2011/content#
adms	http://www.w3.org/ns/adms#
bf	http://bibframe.org/vocab/
cert	http://www.w3.org/ns/auth/cert#
sioct	http://rdfs.org/sioc/types#
scovo	http://purl.org/NET/scovo#
ore	http://www.openarchives.org/ore/terms/
nfo	http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#
gtfs	http://vocab.gtfs.org/terms#
siocserv	http://rdfs.org/sioc/services#
openlinks	http://www.openlinksw.com/schemas/virtrdf#
coref	http://www.rkbexplorer.com/ontologies/coref#
drugbank	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/
unit	http://qudt.org/vocab/unit#
lemon	http://lemon-model.net/lemon#
eat	http://www.eat.rl.ac.uk/#
voaf	http://purl.org/vocommons/voaf#
sf	http://www.opengis.net/ont/sf#
